timestamp,open,high,low,close,volume
2022-10-24,1200975.5,1222941.6,1192735.0,1198400.0,0.5592827
2022-10-31,1198400.0,1254537.2,1171583.1,1223096.3,2.0246516
2022-11-07,1223096.3,1230255.5,932202.1,937000.8,8.4776182
2022-11-14,937000.8,984988.5,910100.0,937034.9,1.8484131
2022-11-21,932501.0,953362.3,892302.4,937077.7,1.532058
2022-11-28,937006.5,972000.0,910000.0,956000.0,1.4869934
2022-12-05,956000.0,967777.5,941000.0,946351.7,1.6921266
2022-12-12,945025.6,1001000.0,931000.0,932325.1,1.977069
2022-12-19,932325.1,933610.8,912000.0,929630.0,1.8000508
2022-12-26,929630.0,933960.5,917720.3,924001.5,2.20420565
2023-01-02,924001.5,935888.0,920294.8,935500.0,1.26998441
2023-01-09,935500.0,1152000.0,935500.0,1144000.0,5.2957897
2023-01-16,1144000.0,1270000.0,1129077.7,1240428.0,8.56548352
2023-01-23,1240428.0,1302920.0,1221376.3,1291723.6,4.6652684
2023-01-30,1291723.6,1310000.0,1232786.3,1251000.0,5.87277659
2023-02-06,1251000.0,1285000.1,1175000.0,1184831.2,5.88828269
2023-02-13,1184831.2,1390000.0,1172000.0,1345000.0,5.98034576
2023-02-20,1348057.4,1381710.5,1263636.3,1292471.5,3.62659187
2023-02-27,1292471.5,1315961.9,1210000.0,1239433.0,4.68173061
2023-03-06,1239433.0,1251457.4,1085000.0,1200000.0,10.85538515
2023-03-13,1200000.0,1553089.8,1100000.0,1532726.0,15.84285394
2023-03-20,1537199.0,1565027.5,1450000.0,1518114.7,13.18579599
2023-03-27,1518114.7,1582000.0,1437113.1,1527887.4,9.98404627
2023-04-03,1530000.5,1553000.0,1486952.5,1541135.4,4.90440429
2023-04-10,1542847.7,1716000.0,1537533.1,1683999.7,9.23655658
2023-04-17,1683999.6,1712485.3,1512319.2,1540000.0,7.93196783
2023-04-24,1540000.0,1665873.5,1510224.3,1620845.0,9.71519639
2023-05-01,1621000.0,1645000.0,1524549.7,1580050.0,13.58096933
2023-05-08,1580050.0,1610000.0,1458771.6,1503000.0,14.37327638
2023-05-15,1503000.0,1541990.0,1455300.0,1482331.6,12.70544699
2023-05-22,1482161.1,1570999.0,1444895.1,1569966.2,18.67175711
2023-05-29,1557132.3,1579240.6,1420284.8,1518600.0,31.59969651
2023-06-05,1501980.0,1519000.0,1425166.4,1450123.8,31.87493963
2023-06-12,1450327.2,1489049.0,1384899.9,1466250.0,28.93396943
2023-06-19,1466250.0,1735000.0,1445368.5,1693299.0,50.73065466
2023-06-26,1693298.0,1708620.0,1602774.8,1686993.0,34.68386072
2023-07-03,1686993.0,1734999.9,1643362.5,1670398.0,43.22170706
2023-07-10,1669282.2,1691298.0,1608000.0,1676068.0,3.86753349
2023-07-17,1634630.9,1670000.0,1620000.0,1640909.9,36.6746363
2023-07-24,1640909.9,1642408.6,1576500.0,1601729.7,35.6177623
2023-07-31,1601729.7,1640000.0,1571094.8,1615626.0,49.0567977
2023-08-07,1615624.8,1688999.9,1608190.1,1651686.9,37.2326021
2023-08-14,1651686.9,1680000.0,1449709.8,1477065.0,48.9153418
2023-08-21,1472132.0,1509730.4,1442820.1,1476590.1,39.0564326
2023-08-28,1476590.1,1588883.0,1430000.0,1468528.9,46.3811143
2023-09-04,1466921.4,1497158.0,1430000.6,1467490.0,51.7056395
2023-09-11,1466800.1,1515858.5,1414510.0,1506372.7,43.019191
2023-09-18,1506372.6,1559994.9,1499176.0,1500000.0,44.0453811
2023-09-25,1500000.0,1584084.0,1475368.3,1580922.3,54.5185648
2023-10-02,1580922.3,1617720.6,1546971.4,1582596.1,49.2152547
2023-10-09,1582068.3,1589049.3,1507560.5,1536362.0,38.0643581
2023-10-16,1539874.3,1712000.0,1536440.0,1694957.9,46.4341291
2023-10-23,1700321.9,1999976.9,1689006.0,1970084.3,68.4596891
2023-10-30,1966148.1,2024999.9,1902736.7,1954555.6,43.4210091
2023-11-06,1954555.5,2109005.7,1938828.0,2074561.3,51.4346224
2023-11-13,2074561.3,2115006.0,1960925.0,2069000.0,51.9565391
2023-11-20,2070858.7,2124945.0,1960000.8,2083516.3,45.3656893
2023-11-27,2081800.2,2200854.9,2038579.2,2199246.5,42.1609524
2023-12-04,2199246.7,2464999.9,2189986.1,2427135.2,54.0897316
2023-12-11,2427110.1,2436899.9,2248589.1,2307281.3,49.4969534
2023-12-18,2300150.2,2449549.8,2260000.0,2385908.6,43.7569606
2023-12-25,2382160.0,2430000.0,2305000.1,2350005.1,36.7346418
2024-01-01,2350005.1,2544300.5,2280000.1,2428396.7,71.0900466
2024-01-08,2429049.8,2745000.4,2350000.0,2387000.5,88.5099175
